,Sampling1 (Simple Random),Sampling2 (Systematic),Sampling3 (Stratified),Sampling4 (Cluster),Sampling5 (Bootstrap)
M1 (Logistic Regression),89.6103896103896,88.31168831168831,90.9090909090909,92.85714285714286,94.8051948051948
M2 (Decision Tree),97.40259740259741,97.40259740259741,98.7012987012987,100.0,97.40259740259741
M3 (Random Forest),98.7012987012987,100.0,98.7012987012987,100.0,98.7012987012987
M4 (SVM),70.12987012987013,75.32467532467533,75.32467532467533,66.07142857142857,80.51948051948052
M5 (KNN),97.40259740259741,93.5064935064935,89.6103896103896,94.64285714285714,97.40259740259741
